"Reference","Value","Name","URL","Price","Qty"
"U4","STM32F303K8Tx","STM32F303K8T6","https://akizukidenshi.com/catalog/g/g110790/","780","1"
"U5","MCP2561/2FD","MCP2562FDT-E/SN","https://www.digikey.jp/ja/products/detail/microchip-technology/MCP2562FDT-E-SN/4860105","202","1"
"U6","CH340E","CH340E","https://akizukidenshi.com/catalog/g/g113543/","90","1"
"U7","MLX91221xxx-ABx-xxx-RE","MLX91221KDF-ABF-075-SP","https://www.digikey.jp/ja/products/detail/melexis-technologies-nv/MLX91221KDF-ABF-075-SP/13572122","683","1"
"U8","UCC21550xDWR","UCC21550BQDWRQ1","https://www.digikey.jp/ja/products/detail/texas-instruments/UCC21550BQDWRQ1/22147161","492","1"
"U9","Si7938DP","SI7938DP-T1-GE3","https://www.digikey.jp/ja/products/detail/vishay-siliconix/SI7938DP-T1-GE3/2441752","287","1"
"U10","VO615A","VO615A-8X017T","https://www.digikey.jp/ja/products/detail/vishay-semiconductor-opto-division/VO615A-8X017T/4074042","58","1"
"U11","TLP7820","TLP7820","https://akizukidenshi.com/catalog/g/g118364/","600","1"
"U12","NJM7812SDL1","NJM7812SDL1","https://akizukidenshi.com/catalog/g/g110978/","50","1"
"U13","LM7805","LM7805RS","https://akizukidenshi.com/catalog/g/g118082/","40","1"
"Y1","Crystal_GND2","XRCGB32M000F1SADR0","https://www.digikey.jp/ja/products/detail/murata-electronics/XRCGB32M000F1SADR0/21662918","52","1"
